ADDRESS_ID,CUSTOMER_ID,STREET,CITY,STATE_CD,BILLING_STATE_CD,ZIP_CODE,COUNTRY_CD
1,1,9477 2nd Ave,Tempe,AZ,AZ,47827,US
2,2,6495 Birch St,Reston,VA,VA,19137,US
3,3,6431 Birch St,Marietta,GA,GA,123,US
4,4,8120 2nd St,Naperville,IL,IL,80008,US
5,5,4434 2nd St,Round Rock,TX,TX,65676,US
6,6,2905 Sunset Dr,Round Rock,TX,TX,60077,US
7,7,552 2nd Ln,Salem,MA,TX,96411,US
8,8,3509 Maple Ave,Provo,UT,UT,44845,US
9,9,6647 Sunset Dr,Ann Arbor,MI,MI,46192,US
10,10,2682 Sunset Dr,Rye,NY,NY,54863,USA
11,11,8824 Pine St,Tempe,AZ,AZ,92619,US
12,12,9870 Sunset Ave,Cary,NC,NC,45556,US
13,13,,Duluth,MN,MN,32478,US
14,14,1433 Pine Ln,Round Rock,TX,TX,15692,US
15,15,9573 2nd Ln,Round Rock,TX,TX,83260,US
16,16,9874 Maple Dr,Naperville,IL,IL,15267,US
17,17,6687 Maple Ave,Golden,CO,CO,58250,US
18,18,915 Maple St,San Marcos,CA,CA,65715,US
19,19,4832 Maple Ln,Cary,NC,NC,57027,US
20,20,4406 Sunset Ave,Ann Arbor,MI,MI,31693,US
21,21,9752 2nd Ln,Bellingham,WA,WA,94396,US
22,22,7512 Pine Dr,Duluth,MN,MN,74610,US
23,23,8908 Pine Ln,Duluth,MN,MN,38264,US
24,24,8811 Birch St,Marietta,GA,GA,37024,US
25,25,3466 Maple Ave,Duluth,MN,MN,41947,US
