PHONE_ID,CUSTOMER_ID,PHONE_TYPE,PHONE_NUMBER,IS_PRIMARY
1,1,HOME,593-829-4837,1
2,1,MOBILE,304-490-3234,0
3,2,WORK,287-677-4132,1
4,3,MOBILE,479-648-6956,1
5,4,HOME,555.12.34,1
6,5,MOBILE,462-859-3331,1
7,6,HOME,543-405-6255,1
8,6,WORK,722-220-5452,0
9,7,WORK,651-251-4200,1
10,7,FAX,959-643-2263,0
11,8,MOBILE,937-302-2426,1
12,8,HOME,205-632-7867,0
13,9,HOME,317-392-3308,1
14,10,WORK,419-652-3876,1
15,11,WORK,532-683-6095,1
16,11,MOBILE,652-406-5897,0
17,12,HOME,960-440-1702,1
18,12,MOBILE,959-962-4777,0
19,13,HOME,895-278-3882,1
20,14,MOBILE,365-893-2051,1
21,15,MOBILE,496-870-1416,1
22,15,WORK,695-722-2357,0
23,16,HOME,762-430-7975,1
24,16,WORK,362-572-7252,0
25,17,HOME,965-406-3131,1
26,17,MOBILE,959-538-6432,0
27,18,MOBILE,352-493-7529,1
28,19,HOME,348-825-5976,1
29,20,MOBILE,521-863-5295,1
30,20,HOME,404-323-9775,0
31,21,MOBILE,311-529-9491,1
32,22,MOBILE,531-217-7159,1
33,23,MOBILE,311-591-6877,1
34,24,MOBILE,906-249-9403,1
35,24,HOME,579-983-5911,0
4,25,HOME,749-421-7607,1
